"","X","year","family","height","R8","planting","flower","maturity","lodging","yield","protein","oil","size"
"DS11-03008",29420.9166666667,2012.25,3,102.636363636364,129.818181818182,519.75,701.6,926.454545454545,1.37272727272727,4213.91666666667,34.65,19.3666666666667,15.35
"DS11-03009",29421.9166666667,2012.25,3,84.1818181818182,129.272727272727,519.75,704.2,925.909090909091,1.37272727272727,3426.41666666667,32.9333333333333,19.6,15.1166666666667
"DS11-03010",29422.9166666667,2012.25,3,90,124.9,519.75,702.2,921.9,1.37272727272727,4067.33333333333,33.05,19.35,15.95
"DS11-03011",29423.9166666667,2012.25,3,81.4545454545455,126.909090909091,519.75,700,923.545454545455,1.32727272727273,3586.83333333333,34.15,19.2833333333333,15.45
"DS11-03012",29424.9166666667,2012.25,3,97.0909090909091,127.7,519.75,700.6,924.7,1.64545454545455,4296.25,34.0166666666667,19.75,15.9
"DS11-03013",29425.9166666667,2012.25,3,106.909090909091,129.909090909091,519.75,702.6,926.545454545455,1.55454545454545,3875,33.65,19.7833333333333,15.1666666666667
"DS11-03014",29426.9166666667,2012.25,3,94.7272727272727,130.6,519.75,704.4,927.6,1.28181818181818,4238,34.2333333333333,19.05,16.0833333333333
"DS11-03015",29427.9166666667,2012.25,3,101.090909090909,127,519.75,701,924,1.84545454545455,4178.08333333333,33.05,19.7833333333333,18.0333333333333
"DS11-03016",29428.9166666667,2012.25,3,95.7272727272727,124.9,519.75,700.2,921.9,1.41818181818182,3616,33.25,19.7166666666667,16.85
"DS11-03017",29429.9166666667,2012.25,3,85.9090909090909,125.3,519.75,701,922.3,1.19090909090909,3983.16666666667,33.2333333333333,19.65,17.1666666666667
"DS11-03018",29430.9166666667,2012.25,3,74.4545454545455,121.7,519.75,702,918.7,1.1,3470.5,32.4166666666667,20.2,17.35
"DS11-03019",29431.9166666667,2012.25,3,91.7272727272727,130.5,519.75,702,927.5,1.6,3904.91666666667,33.2333333333333,19.2,16.4833333333333
"DS11-03020",29432.9166666667,2012.25,3,91.0909090909091,133.545454545455,519.75,702.6,930.181818181818,1.3,4043.91666666667,33.35,19.4166666666667,15.95
"DS11-03021",29433.9166666667,2012.25,3,94.0909090909091,128.181818181818,519.75,701.2,924.818181818182,1.28181818181818,4067.08333333333,32.4333333333333,20,16.3666666666667
"DS11-03022",29434.9166666667,2012.25,3,91.0909090909091,123.7,519.75,704.8,920.7,1.78181818181818,3810.5,31.0333333333333,21.0833333333333,15.7666666666667
"DS11-03023",29435.9166666667,2012.25,3,84.6363636363636,124.7,519.75,703.8,921.7,1.32727272727273,3834.33333333333,31.6666666666667,20.45,16.2333333333333
"DS11-03024",29436.9166666667,2012.25,3,94.7272727272727,126.3,519.75,701.6,923.3,1.98181818181818,3887.41666666667,34.1166666666667,19.4333333333333,16.5
"DS11-03025",29437.9166666667,2012.25,3,87.2727272727273,129.363636363636,519.75,701,926,1.41818181818182,3811.66666666667,32.75,19.6333333333333,18.3666666666667
"DS11-03026",29438.9166666667,2012.25,3,85.4545454545455,127.363636363636,519.75,700,924,1.32727272727273,3927.33333333333,33.6666666666667,19.6666666666667,18.2333333333333
"DS11-03027",29439.9166666667,2012.25,3,82.2727272727273,125.1,519.75,702,922.1,1.28181818181818,3830.41666666667,33.3,20,17.6333333333333
"DS11-03029",29440.9166666667,2012.25,3,92.1818181818182,124.6,519.75,700.8,921.6,1.68181818181818,3876.25,33.1166666666667,20,15.5
"DS11-03030",29441.9166666667,2012.25,3,97.9090909090909,124.363636363636,519.75,699.6,921,1.32727272727273,3709.91666666667,33.1666666666667,20.2166666666667,17.9333333333333
"DS11-03031",29442.9166666667,2012.25,3,89.3636363636364,128.4,519.75,702.8,925.4,1.23636363636364,4405.16666666667,32.7,19.7833333333333,18.8833333333333
"DS11-03032",29443.9166666667,2012.25,3,103.727272727273,127.727272727273,519.75,700.8,924.363636363636,1.32727272727273,4218.08333333333,33.2833333333333,19.7666666666667,19.9166666666667
"DS11-03033",29444.9166666667,2012.25,3,96.7272727272727,126.727272727273,519.75,700,923.363636363636,1.46363636363636,3912.41666666667,34.85,19.2,15.7166666666667
"DS11-03034",29445.9166666667,2012.25,3,78.7272727272727,128.181818181818,519.75,702.6,924.818181818182,1.14545454545455,3710.33333333333,31.8333333333333,20.4833333333333,18.8666666666667
"DS11-03036",29446.9166666667,2012.25,3,100.090909090909,132.090909090909,519.75,704.8,928.727272727273,1.6,4126.16666666667,32.9,19.9333333333333,16.95
"DS11-03037",29447.9166666667,2012.25,3,96.5454545454545,129.7,519.75,701.75,926.7,1.55454545454545,4171.83333333333,33.3333333333333,19.35,16.75
"DS11-03038",29448.9166666667,2012.25,3,90.5454545454545,127.545454545455,519.75,700,924.181818181818,1.41818181818182,3757,33.2666666666667,20.3,15.7833333333333
"DS11-03039",29449.9166666667,2012.25,3,95.6363636363636,126.6,519.75,701.2,923.6,1.6,3879.75,33.35,20.2833333333333,15.8333333333333
"DS11-03041",27531.0833333333,2012.16666666667,3,104.5,128.090909090909,519.583333333333,700.5,924.545454545455,1.45,3884.83333333333,32.9833333333333,19.5,15.8333333333333
"DS11-03044",27532.0833333333,2012.16666666667,3,105.7,128.545454545455,519.583333333333,699,925,1.8,3985,31.5166666666667,20.1833333333333,17.2
