Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
dpoll	96	2.875	1535.099155677261	8.084313290385595	12.774253512202666
dpoll	94	2.9361702127659575	1534.1743492119272	8.244290352824219	12.733189756282956
dpoll	92	3.0	1535.4439605230293	8.500800171753324	12.821747032408293
dpoll	90	3.066666666666667	1534.2789140705986	8.704831621187113	12.770791020338761
dpoll	89	3.101123595505618	1533.7200091948525	8.800393083564773	12.745843929575146
dpoll	87	3.1724137931034484	1535.6852877202318	8.611820232063899	13.009099706801912
dpoll	85	3.2470588235294118	1538.4840252211497	8.238724957578581	13.396338684830496
dpoll	83	3.325301204819277	1537.7924099747515	8.395048309727095	13.395195029087422
dpoll	82	3.3658536585365852	1536.9507533282722	8.511095595843903	13.352957207351556
dpoll	80	3.45	1541.7287764312932	8.724545850723988	13.677144668372035
dpoll	78	3.5384615384615383	1540.5862994855513	8.911523585728949	13.63887392946112
